:ID,:LABEL,AST_PARENT_FULL_NAME:string,AST_PARENT_TYPE:string,CODE:string,COLUMN_NUMBER:int,COLUMN_NUMBER_END:int,FILENAME:string,FULL_NAME:string,HASH,IS_EXTERNAL:boolean,LINE_NUMBER:int,LINE_NUMBER_END:int,NAME:string,OFFSET,OFFSET_END,ORDER:int,SIGNATURE:string
111669151665,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.FileReader:e(428),,true,,,e(428),,,0,
111669151666,METHOD,PropertyDescriptor,TYPE_DECL,<empty>,,,<empty>,PropertyDescriptor:e(428),,true,,,e(428),,,0,
111669151667,METHOD,ObjectConstructor,TYPE_DECL,<empty>,,,<empty>,ObjectConstructor:r(n),,true,,,r(n),,,0,
111669151668,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Null:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151669,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:js:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151670,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:Uf:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151671,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Array:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151672,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.XMLHttpRequest:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151673,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,PropertyDescriptor:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151674,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:f:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151675,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Boolean:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151676,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:Jl:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151677,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.FileReader:<member>(clientX):toFixed,,true,,,toFixed,,,0,
111669151678,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.FileReader:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151679,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,PropertyDescriptor:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151680,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Array:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151681,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Null:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151682,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:js:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151683,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:Jl:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151684,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.XMLHttpRequest:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151685,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Boolean:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151686,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:f:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151687,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:Uf:<member>(clientY):toFixed,,true,,,toFixed,,,0,
111669151688,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,(separator?: __ecma.String) => __ecma.String:push,,true,,,push,,,0,
111669151689,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Null:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151690,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:Jl:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151691,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Boolean:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151692,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.XMLHttpRequest:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151693,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.String:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151694,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Array:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151695,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:js:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151696,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.FileReader:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151697,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,PropertyDescriptor:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151698,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:Uf:<member>(movementX):toFixed,,true,,,toFixed,,,0,
111669151699,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Boolean:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151700,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.XMLHttpRequest:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151701,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Null:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151702,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:Jl:<member>(movementY):toFixed,,true,,,toFixed,,,0,
