:START_ID,:END_ID,:TYPE
30064771139,111669150710,CALL
30064771140,111669150709,CALL
30064771141,111669150710,CALL
30064771142,111669150697,CALL
30064771143,111669150711,CALL
30064771144,111669150697,CALL
30064771145,111669150709,CALL
30064771146,111669150698,CALL
30064771147,111669150695,CALL
30064771148,111669150696,CALL
30064771149,111669150710,CALL
30064771150,111669150709,CALL
30064771151,111669150710,CALL
30064771152,111669150709,CALL
30064771153,111669150697,CALL
30064771154,111669149702,CALL
30064771154,111669150147,CALL
30064771155,111669150696,CALL
30064771156,111669150712,CALL
30064771157,111669150710,CALL
30064771158,111669150713,CALL
30064771159,111669150697,CALL
30064771160,111669150698,CALL
30064771161,111669150697,CALL
30064771162,111669150698,CALL
30064771163,111669150698,CALL
30064771164,111669150698,CALL
30064771165,111669150714,CALL
30064771166,111669153733,CALL
30064771166,111669153734,CALL
30064771166,111669153735,CALL
30064771166,111669153736,CALL
30064771166,111669153737,CALL
30064771166,111669153738,CALL
30064771166,111669153739,CALL
30064771166,111669153740,CALL
30064771166,111669153741,CALL
30064771166,111669153742,CALL
30064771166,111669153787,CALL
30064771167,111669150702,CALL
30064771168,111669150715,CALL
30064771169,111669150698,CALL
30064771170,111669150701,CALL
30064771171,111669150701,CALL
30064771172,111669150710,CALL
30064771173,111669150709,CALL
30064771174,111669150533,CALL
30064771174,111669149704,CALL
30064771174,111669150141,CALL
30064771175,111669150698,CALL
30064771176,111669151104,CALL
30064771176,111669151105,CALL
30064771176,111669151106,CALL
30064771176,111669151107,CALL
30064771176,111669151108,CALL
30064771176,111669151109,CALL
30064771176,111669151110,CALL
30064771176,111669151111,CALL
30064771176,111669151112,CALL
30064771176,111669151113,CALL
30064771176,111669151114,CALL
30064771176,111669151115,CALL
30064771176,111669152111,CALL
30064771176,111669152112,CALL
30064771176,111669152113,CALL
30064771176,111669152114,CALL
30064771176,111669152115,CALL
30064771176,111669153794,CALL
30064771176,111669153795,CALL
30064771176,111669153796,CALL
30064771176,111669153797,CALL
30064771177,111669150697,CALL
30064771178,111669150698,CALL
30064771179,111669150776,CALL
30064771180,111669150697,CALL
30064771181,111669150698,CALL
30064771182,111669150697,CALL
30064771183,111669150697,CALL
30064771184,111669150716,CALL
30064771185,111669150696,CALL
30064771186,111669150696,CALL
30064771187,111669150710,CALL
30064771188,111669150697,CALL
30064771189,111669150698,CALL
30064771190,111669150697,CALL
30064771191,111669150697,CALL
30064771192,111669150695,CALL
30064771193,111669150712,CALL
30064771194,111669150710,CALL
30064771195,111669150710,CALL
30064771196,111669150777,CALL
30064771197,111669150697,CALL
30064771198,111669150695,CALL
30064771199,111669150712,CALL
30064771200,111669150710,CALL
30064771201,111669150778,CALL
30064771202,111669150697,CALL
30064771203,111669150698,CALL
30064771204,111669150533,CALL
30064771204,111669149704,CALL
30064771204,111669150141,CALL
30064771205,111669150717,CALL
30064771206,111669150779,CALL
30064771207,111669150697,CALL
30064771208,111669150533,CALL
30064771208,111669149704,CALL
30064771208,111669150141,CALL
30064771209,111669150712,CALL
30064771210,111669150696,CALL
30064771211,111669150711,CALL
30064771212,111669150709,CALL
30064771213,111669150711,CALL
30064771214,111669150701,CALL
30064771215,111669150697,CALL
30064771216,111669150711,CALL
30064771217,111669150701,CALL
30064771218,111669150777,CALL
30064771219,111669150697,CALL
30064771220,111669150718,CALL
30064771221,111669150698,CALL
30064771222,111669150714,CALL
30064771223,111669153733,CALL
30064771223,111669153734,CALL
30064771223,111669153735,CALL
30064771223,111669153736,CALL
30064771223,111669153737,CALL
30064771223,111669153738,CALL
30064771223,111669153739,CALL
30064771223,111669153740,CALL
30064771223,111669153741,CALL
30064771223,111669153742,CALL
30064771223,111669153787,CALL
30064771224,111669150712,CALL
30064771225,111669150712,CALL
30064771226,111669150712,CALL
30064771227,111669149706,CALL
30064771228,111669149708,CALL
30064771229,111669150535,CALL
30064771229,111669149705,CALL
30064771229,111669150145,CALL
30064771229,111669150303,CALL
30064771230,111669149709,CALL
30064771231,111669150698,CALL
30064771232,111669150719,CALL
30064771233,111669150698,CALL
30064771234,111669150698,CALL
30064771235,111669150697,CALL
30064771236,111669150712,CALL
30064771237,111669150780,CALL
30064771237,111669150778,CALL
30064771237,111669150781,CALL
30064771237,111669150782,CALL
30064771238,111669150697,CALL
30064771239,111669150696,CALL
30064771240,111669150778,CALL
30064771241,111669150697,CALL
30064771242,111669150698,CALL
30064771243,111669150712,CALL
30064771244,111669150778,CALL
30064771245,111669150697,CALL
30064771246,111669150698,CALL
30064771247,111669150778,CALL
30064771248,111669150697,CALL
30064771249,111669150698,CALL
30064771250,111669150696,CALL
30064771251,111669150713,CALL
30064771252,111669150704,CALL
30064771253,111669150698,CALL
30064771254,111669150697,CALL
30064771255,111669150699,CALL
30064771256,111669150783,CALL
30064771257,111669150697,CALL
30064771258,111669150698,CALL
30064771259,111669150784,CALL
30064771260,111669150697,CALL
30064771261,111669150720,CALL
30064771262,111669150700,CALL
30064771263,111669150704,CALL
30064771264,111669150702,CALL
