:START_ID,:END_ID,:TYPE
124554051639,34359742321,CAPTURE
124554051640,34359742316,CAPTURE
124554051640,34359742317,CAPTURE
124554051640,34359742318,CAPTURE
124554051640,34359742319,CAPTURE
124554051641,34359742313,CAPTURE
124554051641,34359742314,CAPTURE
124554051642,34359742310,CAPTURE
124554051642,34359742311,CAPTURE
124554051643,34359742300,CAPTURE
124554051643,34359742301,CAPTURE
124554051643,34359742303,CAPTURE
124554051643,34359742304,CAPTURE
124554051643,34359742305,CAPTURE
124554051644,34359742270,CAPTURE
124554051644,34359742273,CAPTURE
124554051644,34359742276,CAPTURE
124554051644,34359742278,CAPTURE
124554051644,34359742281,CAPTURE
124554051644,34359742282,CAPTURE
124554051644,34359742285,CAPTURE
124554051644,34359742287,CAPTURE
124554051645,34359742237,CAPTURE
124554051646,34359742238,CAPTURE
124554051647,34359742239,CAPTURE
124554051647,34359742242,CAPTURE
124554051647,34359742245,CAPTURE
124554051648,34359742226,CAPTURE
124554051648,34359742227,CAPTURE
124554051648,34359742230,CAPTURE
124554051648,34359742232,CAPTURE
124554051649,34359742271,CAPTURE
124554051649,34359742274,CAPTURE
124554051649,34359742277,CAPTURE
124554051649,34359742279,CAPTURE
124554051649,34359742283,CAPTURE
124554051649,34359742286,CAPTURE
124554051649,34359742288,CAPTURE
124554051649,34359742289,CAPTURE
124554051650,34359742263,CAPTURE
124554051650,34359742264,CAPTURE
124554051650,34359742266,CAPTURE
124554051651,34359742258,CAPTURE
124554051651,34359742259,CAPTURE
124554051651,34359742261,CAPTURE
124554051651,34359742262,CAPTURE
124554051652,34359742228,CAPTURE
124554051652,34359742231,CAPTURE
124554051652,34359742233,CAPTURE
124554051652,34359742235,CAPTURE
124554051652,34359742240,CAPTURE
124554051652,34359742243,CAPTURE
124554051652,34359742246,CAPTURE
124554051652,34359742248,CAPTURE
124554051653,34359742219,CAPTURE
124554051653,34359742220,CAPTURE
124554051653,34359742222,CAPTURE
124554051653,34359742224,CAPTURE
124554051654,34359742179,CAPTURE
124554051654,34359742182,CAPTURE
124554051654,34359742183,CAPTURE
124554051654,34359742186,CAPTURE
124554051654,34359742189,CAPTURE
124554051654,34359742190,CAPTURE
124554051655,34359742180,CAPTURE
124554051655,34359742184,CAPTURE
124554051655,34359742187,CAPTURE
124554051655,34359742191,CAPTURE
124554051655,34359742193,CAPTURE
124554051655,34359742195,CAPTURE
124554051655,34359742197,CAPTURE
124554051656,34359742151,CAPTURE
124554051656,34359742153,CAPTURE
124554051656,34359742155,CAPTURE
124554051656,34359742157,CAPTURE
124554051656,34359742159,CAPTURE
124554051656,34359742161,CAPTURE
124554051656,34359742162,CAPTURE
124554051656,34359742164,CAPTURE
124554051656,34359742166,CAPTURE
124554051658,34359742122,CAPTURE
124554051658,34359742123,CAPTURE
124554051658,34359742124,CAPTURE
124554051658,34359742125,CAPTURE
124554051658,34359742126,CAPTURE
124554051658,34359742127,CAPTURE
124554051658,34359742128,CAPTURE
124554051658,34359742129,CAPTURE
124554051659,34359742108,CAPTURE
124554051659,34359742109,CAPTURE
124554051659,34359742111,CAPTURE
124554051659,34359742113,CAPTURE
124554051659,34359742115,CAPTURE
124554051659,34359742117,CAPTURE
